algorithm,instance,objective,runtime
GRASP,132167,139,283.2108073234558
GRASP,132167,139,282.04741978645325
GRASP,132167,139,292.0740821361542
GRASP,132167,139,278.2054169178009
GRASP,132167,139,279.05284118652344
GRASP,132167,139,294.1838655471802
GRASP,132167,139,279.6706898212433
GRASP,132167,139,293.9961082935333
GRASP,132167,139,282.9201374053955
GRASP,132167,139,292.8593509197235
GRASP,132167,139,286.69757866859436
GRASP,132167,139,289.5087516307831
GRASP,132167,139,290.4036338329315
GRASP,132167,139,288.5277490615845
GRASP,132167,139,290.52185893058777
GRASP,132167,139,287.5087239742279
GRASP,132167,139,292.4717392921448
GRASP,132167,139,285.0115931034088
GRASP,132167,139,292.450044631958
GRASP,132167,139,283.5236129760742
GRASP,132167,139,294.00278067588806
GRASP,132167,139,281.41846656799316
GRASP,132167,139,292.2018897533417
GRASP,132167,139,286.1876013278961
GRASP,132167,139,292.4080955982208
GRASP,132167,139,291.3152644634247
GRASP,132167,139,289.2567186355591
GRASP,132167,139,290.04611372947693
GRASP,132167,139,287.3529920578003
GRASP,132167,139,290.28365993499756
GRASP,3e559b,1073,291.26165223121643
GRASP,3e559b,1052,293.66222953796387
GRASP,3e559b,1139,293.3839888572693
GRASP,3e559b,1108,294.1515712738037
GRASP,3e559b,1120,294.40327191352844
GRASP,3e559b,1094,292.70581912994385
GRASP,3e559b,1125,293.24930000305176
GRASP,3e559b,1093,294.0436182022095
GRASP,3e559b,1078,293.5126214027405
GRASP,3e559b,1086,292.62085032463074
GRASP,3e559b,1123,293.9048635959625
GRASP,3e559b,1100,290.41972184181213
GRASP,3e559b,1070,293.65768575668335
GRASP,3e559b,1126,293.742933511734
GRASP,3e559b,1074,293.7639925479889
GRASP,3e559b,1119,292.94730043411255
GRASP,3e559b,1065,289.11171865463257
GRASP,3e559b,1027,294.18239188194275
GRASP,3e559b,1061,294.4280524253845
GRASP,3e559b,1080,292.57869267463684
GRASP,3e559b,1045,294.31230115890503
GRASP,3e559b,1128,292.3020694255829
GRASP,3e559b,1107,290.53805470466614
GRASP,3e559b,1080,293.04905700683594
GRASP,3e559b,1064,293.7928104400635
GRASP,3e559b,1066,293.56071043014526
GRASP,3e559b,1093,292.96290731430054
GRASP,3e559b,1122,294.0474805831909
GRASP,3e559b,1154,293.53041982650757
GRASP,3e559b,1030,292.9927680492401
GRASP,4fceab,478,292.7477488517761
GRASP,4fceab,486,293.8711462020874
GRASP,4fceab,503,292.8375995159149
GRASP,4fceab,501,293.9498026371002
GRASP,4fceab,458,293.3917863368988
GRASP,4fceab,507,294.0080418586731
GRASP,4fceab,471,291.8145923614502
GRASP,4fceab,467,294.5569267272949
GRASP,4fceab,487,294.43640899658203
GRASP,4fceab,507,292.9491093158722
GRASP,4fceab,481,292.1555829048157
GRASP,4fceab,515,293.8334529399872
GRASP,4fceab,518,292.1632332801819
GRASP,4fceab,490,293.18078565597534
GRASP,4fceab,494,293.8337459564209
GRASP,4fceab,491,292.60842657089233
GRASP,4fceab,486,289.92062520980835
GRASP,4fceab,463,294.19856786727905
GRASP,4fceab,479,294.46394753456116
GRASP,4fceab,505,294.1661183834076
GRASP,4fceab,493,292.7613432407379
GRASP,4fceab,500,290.82802295684814
GRASP,4fceab,488,293.015665769577
GRASP,4fceab,507,294.2773368358612
GRASP,4fceab,475,292.46353030204773
GRASP,4fceab,461,294.51122760772705
GRASP,4fceab,472,290.51926469802856
GRASP,4fceab,479,294.4002664089203
GRASP,4fceab,478,293.5149471759796
GRASP,4fceab,465,293.313108921051
GRASP,506fa3,5009,294.2108633518219
GRASP,506fa3,5010,294.0477614402771
GRASP,506fa3,5011,293.2108964920044
GRASP,506fa3,4997,294.04358887672424
GRASP,506fa3,4999,294.04143714904785
GRASP,506fa3,5017,294.41666555404663
GRASP,506fa3,4997,294.3555326461792
GRASP,506fa3,5002,294.73201727867126
GRASP,506fa3,5000,294.31108832359314
GRASP,506fa3,5002,293.2450261116028
GRASP,506fa3,5001,294.1891415119171
GRASP,506fa3,5033,294.00987339019775
GRASP,506fa3,5006,294.258908033371
GRASP,506fa3,5014,294.5397424697876
GRASP,506fa3,4994,293.95668387413025
GRASP,506fa3,5011,294.34467673301697
GRASP,506fa3,4996,293.96325874328613
GRASP,506fa3,4999,293.01574301719666
GRASP,506fa3,5018,294.418977022171
GRASP,506fa3,5020,294.3702549934387
GRASP,506fa3,5013,294.34233021736145
GRASP,506fa3,5004,293.87133026123047
GRASP,506fa3,5019,293.5011930465698
GRASP,506fa3,5031,294.4172921180725
GRASP,506fa3,5017,291.8204369544983
GRASP,506fa3,5018,293.5087134838104
GRASP,506fa3,5004,294.4878149032593
GRASP,506fa3,5005,293.3226354122162
GRASP,506fa3,5028,294.01595664024353
GRASP,506fa3,4997,294.1055908203125
GRASP,802616,2815,294.0982916355133
GRASP,802616,2801,291.98052620887756
GRASP,802616,2803,294.1766400337219
GRASP,802616,2860,294.5187957286835
GRASP,802616,2861,294.0338180065155
GRASP,802616,2853,293.2525429725647
GRASP,802616,2789,293.55175733566284
GRASP,802616,2896,293.88031935691833
GRASP,802616,2804,293.5281810760498
GRASP,802616,2887,293.9040558338165
GRASP,802616,2827,293.6040749549866
GRASP,802616,2839,292.88165187835693
GRASP,802616,2838,293.3755843639374
GRASP,802616,2806,293.94011759757996
GRASP,802616,2812,291.6078746318817
GRASP,802616,2823,292.7544186115265
GRASP,802616,2822,294.04976439476013
GRASP,802616,2881,294.4226107597351
GRASP,802616,2821,294.3764443397522
GRASP,802616,2899,292.65800166130066
GRASP,802616,2854,293.4610638618469
GRASP,802616,2836,290.91487884521484
GRASP,802616,2836,294.1374192237854
GRASP,802616,2809,293.97999835014343
GRASP,802616,2822,293.8361597061157
GRASP,802616,2885,293.6843638420105
GRASP,802616,2792,293.9638638496399
GRASP,802616,2813,294.46458745002747
GRASP,802616,2850,292.95382714271545
GRASP,802616,2836,293.6100425720215
GRASP,88182c,319,292.3361654281616
GRASP,88182c,320,279.7351984977722
GRASP,88182c,311,292.99801898002625
GRASP,88182c,330,284.8139796257019
GRASP,88182c,336,294.1549229621887
GRASP,88182c,314,294.1422801017761
GRASP,88182c,325,286.392192363739
GRASP,88182c,312,289.8520722389221
GRASP,88182c,314,277.59921193122864
GRASP,88182c,318,292.2584457397461
GRASP,88182c,311,293.4376292228699
GRASP,88182c,346,292.1507956981659
GRASP,88182c,318,293.0999484062195
GRASP,88182c,316,293.26370072364807
GRASP,88182c,325,294.18084049224854
GRASP,88182c,316,283.4490852355957
GRASP,88182c,338,291.8057405948639
GRASP,88182c,338,285.5705940723419
GRASP,88182c,334,291.8933434486389
GRASP,88182c,313,285.16219997406006
GRASP,88182c,311,286.18706369400024
GRASP,88182c,323,293.50920057296753
GRASP,88182c,325,286.1087489128113
GRASP,88182c,316,283.8976821899414
GRASP,88182c,336,290.72011494636536
GRASP,88182c,313,292.94349336624146
GRASP,88182c,328,291.7437319755554
GRASP,88182c,334,294.2781777381897
GRASP,88182c,316,292.6377897262573
GRASP,88182c,320,281.9895987510681
GRASP,8ea3cb,346,260.60675573349
GRASP,8ea3cb,347,286.2604327201843
GRASP,8ea3cb,346,259.96882915496826
GRASP,8ea3cb,356,274.9680781364441
GRASP,8ea3cb,343,262.5342140197754
GRASP,8ea3cb,346,259.5231201648712
GRASP,8ea3cb,348,259.81695675849915
GRASP,8ea3cb,346,261.13219952583313
GRASP,8ea3cb,345,258.5019793510437
GRASP,8ea3cb,352,260.9654507637024
GRASP,8ea3cb,349,258.36627292633057
GRASP,8ea3cb,349,260.36972737312317
GRASP,8ea3cb,343,258.0287916660309
GRASP,8ea3cb,344,283.20089316368103
GRASP,8ea3cb,350,281.9880554676056
GRASP,8ea3cb,348,292.8209774494171
GRASP,8ea3cb,347,257.3651330471039
GRASP,8ea3cb,345,291.7228219509125
GRASP,8ea3cb,348,256.2860052585602
GRASP,8ea3cb,350,256.2985088825226
GRASP,8ea3cb,350,256.87421011924744
GRASP,8ea3cb,347,260.6779601573944
GRASP,8ea3cb,347,255.4095766544342
GRASP,8ea3cb,349,263.45050406455994
GRASP,8ea3cb,348,294.44125533103943
GRASP,8ea3cb,349,259.97527408599854
GRASP,8ea3cb,344,259.6136214733124
GRASP,8ea3cb,344,259.69840025901794
GRASP,8ea3cb,342,260.6704201698303
GRASP,8ea3cb,343,252.8461253643036
GRASP,bc915b,5400,294.34412026405334
GRASP,bc915b,5400,294.8174638748169
